recording,session,channel,n_good,r,z,nrmse,lambda,pi,mu,d
sub-001_ses-t1,ses-t1,Fp1,62,0.9648930872874809,2.0123975299302175,0.2648411176850918,2.4033279073973595,0.03581117742810635,3,17.988943887277408
sub-001_ses-t1,ses-t1,AF7,62,0.9059112955095088,1.5042387707168126,0.424553668131057,2.6029544769369912,0.03629785951160688,4,17.9889438872964
sub-001_ses-t1,ses-t1,AF3,62,0.9486952116715582,1.8185656089096733,0.3181290126809459,3.322380320752442,0.0,4,18.99137042434568
sub-001_ses-t1,ses-t1,F1,62,0.9383380408222403,1.7239595045352156,0.34901410882434036,3.158605717042576,0.0,3,16.7762971676845
sub-001_ses-t1,ses-t1,F3,62,0.907365258017763,1.5124069339915742,0.42322463694360796,3.4400482509047046,0.0,4,17.094795802718945
sub-001_ses-t1,ses-t1,F5,62,0.7502370196535691,0.9734970540056401,0.6616607146125503,3.4748266505878806,0.0,5,17.594959612644345
sub-001_ses-t1,ses-t1,F7,62,0.9333844086788756,1.6840443358652692,0.3742400750952108,2.6355196527610323,0.03635157945502773,3,17.705676358858174
sub-001_ses-t1,ses-t1,FT7,62,0.9396141188501422,1.7347445013224096,0.3722821575370601,2.4349189124012782,0.036534635557967085,3,17.988943887277408
sub-001_ses-t1,ses-t1,FC5,62,0.8614304553220745,1.2988641029448849,0.5257720639785448,3.2516740061531038,0.0,4,19.399051296422527
sub-001_ses-t1,ses-t1,FC3,62,0.8762443723277821,1.3593592534818406,0.48418139941824534,3.0083805619196915,0.0,4,21.041789990512164
sub-001_ses-t1,ses-t1,FC1,62,0.8615836191259957,1.2994582087506368,0.5076262310076293,2.803616636528029,0.0,4,21.041789990512164
sub-001_ses-t1,ses-t1,C1,62,0.890050416618644,1.4221684276642395,0.45942736899209496,2.5806509945750453,0.0,4,22.021524975074975
sub-001_ses-t1,ses-t1,C3,62,0.8751819493351342,1.3548019455638622,0.5024113426222886,2.7423886175920904,0.0,4,21.08260936546092
sub-001_ses-t1,ses-t1,C5,62,0.7932531753764842,1.0801458452447008,0.6192536468311938,3.0569688931757897,0.0,4,20.00606534146191
sub-001_ses-t1,ses-t1,T7,62,0.854240803338215,1.2716373493548943,0.5211999187713273,2.3857099788965934,0.03617726861621948,3,17.988943887277408
