# OpenNeuro ds003775 v1.2.1 cleaned epochs: size in bytes and MD5 from the git-annex keys of mirror commit cb354b249827d17fa0575b2b42521ba25982c16b
path	size	md5
derivatives/cleaned_epochs/sub-028/ses-t1/eeg/sub-028_ses-t1_task-resteyesc_desc-epochs_eeg.set	115475736	b132c1e1814170582bec293b79922cc3
derivatives/cleaned_epochs/sub-028/ses-t2/eeg/sub-028_ses-t2_task-resteyesc_desc-epochs_eeg.set	115472168	6590b31434a65c40fa0aa9e0f02b60bd
derivatives/cleaned_epochs/sub-029/ses-t1/eeg/sub-029_ses-t1_task-resteyesc_desc-epochs_eeg.set	115478048	68d95697fb92fa550a492a6f9f1337dc
derivatives/cleaned_epochs/sub-030/ses-t1/eeg/sub-030_ses-t1_task-resteyesc_desc-epochs_eeg.set	115472168	969a4dab944a7ce09332791f4bf5d3e9
derivatives/cleaned_epochs/sub-030/ses-t2/eeg/sub-030_ses-t2_task-resteyesc_desc-epochs_eeg.set	115473400	0690b1c0f4c28dc35800cc581257d817
derivatives/cleaned_epochs/sub-031/ses-t1/eeg/sub-031_ses-t1_task-resteyesc_desc-epochs_eeg.set	115474616	ef2bc401d6b3c2132692f03ca97f3689
derivatives/cleaned_epochs/sub-032/ses-t1/eeg/sub-032_ses-t1_task-resteyesc_desc-epochs_eeg.set	115472144	a4b3431497a60fba0ef00eaa74751020
derivatives/cleaned_epochs/sub-032/ses-t2/eeg/sub-032_ses-t2_task-resteyesc_desc-epochs_eeg.set	115472056	ee37b9a1fe811016a583039b3633f62e
derivatives/cleaned_epochs/sub-033/ses-t1/eeg/sub-033_ses-t1_task-resteyesc_desc-epochs_eeg.set	115473488	835cd115b2d63c5be940e61f257f86e9
derivatives/cleaned_epochs/sub-034/ses-t1/eeg/sub-034_ses-t1_task-resteyesc_desc-epochs_eeg.set	115473320	306bc3c4fbe75f7fd20a08773b34d7f2
derivatives/cleaned_epochs/sub-035/ses-t1/eeg/sub-035_ses-t1_task-resteyesc_desc-epochs_eeg.set	115472200	ceb18db13170401b36ca978d9d27c96a
derivatives/cleaned_epochs/sub-036/ses-t1/eeg/sub-036_ses-t1_task-resteyesc_desc-epochs_eeg.set	115472224	c78ad3fe50edacb437446e8df300d4e7
derivatives/cleaned_epochs/sub-037/ses-t1/eeg/sub-037_ses-t1_task-resteyesc_desc-epochs_eeg.set	115472056	88741d62ad0f3005479893697105d311
derivatives/cleaned_epochs/sub-038/ses-t1/eeg/sub-038_ses-t1_task-resteyesc_desc-epochs_eeg.set	115473424	82bc7a05f7c0af6892129cbd47e3283e
derivatives/cleaned_epochs/sub-038/ses-t2/eeg/sub-038_ses-t2_task-resteyesc_desc-epochs_eeg.set	115474632	f30eda1edc23171b0534c151276803e7
derivatives/cleaned_epochs/sub-039/ses-t1/eeg/sub-039_ses-t1_task-resteyesc_desc-epochs_eeg.set	115475824	1d96ff1ddc017592ab042ef36fd83921
derivatives/cleaned_epochs/sub-040/ses-t1/eeg/sub-040_ses-t1_task-resteyesc_desc-epochs_eeg.set	115472168	4de7892e0567a4368e5528a06baa31d8
derivatives/cleaned_epochs/sub-041/ses-t1/eeg/sub-041_ses-t1_task-resteyesc_desc-epochs_eeg.set	115472088	a4e548f13108bc966af9414d596d4c07
derivatives/cleaned_epochs/sub-042/ses-t1/eeg/sub-042_ses-t1_task-resteyesc_desc-epochs_eeg.set	115473488	8345bcd1daefdabab4a609a36ef5e4aa
derivatives/cleaned_epochs/sub-042/ses-t2/eeg/sub-042_ses-t2_task-resteyesc_desc-epochs_eeg.set	115472168	2b1f3eb646d603ebefd1ca4709ee770c
derivatives/cleaned_epochs/sub-043/ses-t1/eeg/sub-043_ses-t1_task-resteyesc_desc-epochs_eeg.set	100796560	bc5eed28237e1516762f2bbe62b1a49f
derivatives/cleaned_epochs/sub-043/ses-t2/eeg/sub-043_ses-t2_task-resteyesc_desc-epochs_eeg.set	115478168	4f01f116a5ff662e5922b5635ee9ce5e
derivatives/cleaned_epochs/sub-044/ses-t1/eeg/sub-044_ses-t1_task-resteyesc_desc-epochs_eeg.set	115474656	955efbc9db881239951a652db563bd98
derivatives/cleaned_epochs/sub-045/ses-t1/eeg/sub-045_ses-t1_task-resteyesc_desc-epochs_eeg.set	115472168	88bdbf2d5b585c92fe8941ed482e2158
derivatives/cleaned_epochs/sub-046/ses-t1/eeg/sub-046_ses-t1_task-resteyesc_desc-epochs_eeg.set	115478048	6f625801c523730d69fbb931d77748f7
derivatives/cleaned_epochs/sub-046/ses-t2/eeg/sub-046_ses-t2_task-resteyesc_desc-epochs_eeg.set	115473368	aec60897fb6c77cb145979f16bcc24aa
derivatives/cleaned_epochs/sub-047/ses-t1/eeg/sub-047_ses-t1_task-resteyesc_desc-epochs_eeg.set	115472144	0652224461ef0ac186fa5eeee8523907
derivatives/cleaned_epochs/sub-047/ses-t2/eeg/sub-047_ses-t2_task-resteyesc_desc-epochs_eeg.set	115472144	dc6926b9ed1654f3e640b96b57eb8022
derivatives/cleaned_epochs/sub-048/ses-t1/eeg/sub-048_ses-t1_task-resteyesc_desc-epochs_eeg.set	115473408	255f8ee0ec98dc274ef149c0308197ff
derivatives/cleaned_epochs/sub-048/ses-t2/eeg/sub-048_ses-t2_task-resteyesc_desc-epochs_eeg.set	115473448	55b922c5683573dd2b6c2e3f792b5126
derivatives/cleaned_epochs/sub-049/ses-t1/eeg/sub-049_ses-t1_task-resteyesc_desc-epochs_eeg.set	115472200	6aab346772f006b09dc66bcce848b997
derivatives/cleaned_epochs/sub-050/ses-t1/eeg/sub-050_ses-t1_task-resteyesc_desc-epochs_eeg.set	115475848	3048cdac0bab7b3edb7fd4fd38871cdb
derivatives/cleaned_epochs/sub-051/ses-t1/eeg/sub-051_ses-t1_task-resteyesc_desc-epochs_eeg.set	115472000	c557c4e92140da082e3372d86dddbe97
derivatives/cleaned_epochs/sub-051/ses-t2/eeg/sub-051_ses-t2_task-resteyesc_desc-epochs_eeg.set	115473352	8aa7ea14048274ef1ced20c01885dd71
