# OpenNeuro ds003775 v1.2.1, doi:10.18112/openneuro.ds003775.v1.2.1, CC0; git mirror commit cb354b249827d17fa0575b2b42521ba25982c16b
# channel order: Fp1,AF7,AF3,F1,F3,F5,F7,FT7,FC5,FC3,FC1,C1,C3,C5,T7,TP7,CP5,CP3,CP1,P1,P3,P5,P7,P9,PO7,PO3,O1,Iz,Oz,POz,Pz,CPz,Fpz,Fp2,AF8,AF4,AFz,Fz,F2,F4,F6,F8,FT8,FC6,FC4,FC2,FCz,Cz,C2,C4,C6,T8,TP8,CP6,CP4,CP2,P2,P4,P6,P8,P10,PO8,PO4,O2
recording	subject	session	n_bad	bad_channels
sub-041_ses-t1	sub-041	ses-t1	3	F5,TP7,P8
sub-042_ses-t1	sub-042	ses-t1	3	FC6,T8,PO8
sub-042_ses-t2	sub-042	ses-t2	3	FC5,C6,CP6
sub-043_ses-t1	sub-043	ses-t1	18	F7,FT7,FC5,TP7,P9,AF8,F6,F8,FT8,FC6,FC4,C4,C6,T8,TP8,CP6,P2,P10
sub-043_ses-t2	sub-043	ses-t2	27	F5,F7,FT7,FC5,FC3,C3,C5,T7,TP7,CP5,P9,PO7,AF8,F4,F6,F8,FT8,FC6,FC4,C4,C6,T8,TP8,CP6,P8,P10,PO8
sub-044_ses-t1	sub-044	ses-t1	11	AF7,F7,P1,P9,Iz,Fpz,Fp2,AFz,F4,TP8,P2
sub-045_ses-t1	sub-045	ses-t1	1	POz
sub-046_ses-t1	sub-046	ses-t1	23	Fp1,AF7,AF3,F3,F5,F7,FT7,FC5,C5,T7,TP7,P7,P9,PO7,Iz,POz,Fpz,Fp2,FC6,T8,TP8,P10,PO4
sub-046_ses-t2	sub-046	ses-t2	6	F5,F7,T7,CP5,P8,P10
sub-047_ses-t1	sub-047	ses-t1	4	F5,FT7,FC5,P9
sub-047_ses-t2	sub-047	ses-t2	1	F7
sub-048_ses-t1	sub-048	ses-t1	12	FT7,FC5,C5,T7,TP7,Pz,AFz,F8,FT8,T8,TP8,CP6
sub-048_ses-t2	sub-048	ses-t2	5	F4,FC6,C6,P4,P6
sub-049_ses-t1	sub-049	ses-t1	1	FC2
sub-050_ses-t1	sub-050	ses-t1	4	Fp1,O1,Fpz,Fp2
sub-051_ses-t1	sub-051	ses-t1	3	C2,C4,CP2
sub-051_ses-t2	sub-051	ses-t2	1	C6
sub-052_ses-t1	sub-052	ses-t1	7	F5,F7,FC5,TP7,P9,Fp2,F6
sub-053_ses-t1	sub-053	ses-t1	9	P9,PO7,Iz,Oz,POz,Pz,F4,F6,PO4
sub-054_ses-t1	sub-054	ses-t1	0	
sub-055_ses-t1	sub-055	ses-t1	0	
sub-056_ses-t1	sub-056	ses-t1	1	POz
sub-057_ses-t1	sub-057	ses-t1	4	P9,Iz,POz,P2
sub-058_ses-t1	sub-058	ses-t1	1	P6
sub-058_ses-t2	sub-058	ses-t2	1	Fp1
sub-059_ses-t1	sub-059	ses-t1	1	P9
sub-060_ses-t1	sub-060	ses-t1	13	F7,FT7,C5,T7,P3,P5,P9,PO7,Iz,CPz,F8,C6,P10
sub-060_ses-t2	sub-060	ses-t2	0	
sub-061_ses-t1	sub-061	ses-t1	2	FC4,CP4
sub-062_ses-t1	sub-062	ses-t1	9	FT7,FC5,PO7,PO3,O1,Oz,POz,FT8,PO8
sub-063_ses-t1	sub-063	ses-t1	2	FT7,P9
sub-064_ses-t1	sub-064	ses-t1	2	FC1,CP4
sub-064_ses-t2	sub-064	ses-t2	6	F7,Iz,FC2,T8,CP6,PO4
sub-065_ses-t1	sub-065	ses-t1	2	PO7,P10
sub-066_ses-t1	sub-066	ses-t1	16	AF7,AF3,F5,FT7,P3,P5,P9,PO7,O1,Iz,C6,P4,P10,PO8,PO4,O2
sub-067_ses-t1	sub-067	ses-t1	4	FT7,P9,AF8,PO4
sub-068_ses-t1	sub-068	ses-t1	21	F5,F7,FT7,FC3,C5,TP7,P7,PO7,PO3,O1,Iz,Oz,POz,F6,FC6,FC4,T8,TP8,P6,PO8,O2
sub-068_ses-t2	sub-068	ses-t2	9	AF7,O1,Iz,Oz,F4,F6,FT8,FC6,O2
sub-069_ses-t1	sub-069	ses-t1	2	FC1,T8
sub-069_ses-t2	sub-069	ses-t2	1	F3
sub-070_ses-t1	sub-070	ses-t1	0	
sub-070_ses-t2	sub-070	ses-t2	1	AF8
sub-071_ses-t1	sub-071	ses-t1	3	F4,P8,PO4
sub-071_ses-t2	sub-071	ses-t2	3	F2,C4,P2
sub-072_ses-t1	sub-072	ses-t1	0	
sub-073_ses-t1	sub-073	ses-t1	11	F1,F3,FC3,FC1,Iz,POz,F6,FT8,FC6,P10,PO4
