n rho
8 34.9951
16 25.0435
24 21.2515
32 21.2515
40 16.4881
48 15.6683
56 15.6683
64 15.6683
72 15.6683
80 13.669
88 13.669
96 13.669
104 13.669
112 13.669
120 13.669
128 13.669
136 13.669
144 13.669
152 12.4851
160 12.4851
