x y seen unseen
6.3600 -0.8696 -0.8696 nan
6.4000 -0.8783 -0.8783 nan
6.4400 -0.8870 -0.8870 nan
6.4800 -0.8957 -0.8957 nan
6.5200 -0.9044 -0.9044 nan
6.5600 -0.9131 -0.9131 nan
6.6000 -0.9218 -0.9218 nan
6.6400 -0.9305 -0.9305 nan
6.6800 -0.9392 -0.9392 nan
6.7200 -0.9479 -0.9479 nan
6.7600 -0.9566 -0.9566 nan
6.8000 -0.9652 -0.9652 nan
6.8400 -0.9739 -0.9739 nan
6.8800 -0.9826 -0.9826 nan
6.9200 -0.9912 -0.9912 nan
6.9600 -0.9999 -0.9999 nan
7.0000 -1.0085 -1.0085 nan
7.0400 -1.0172 -1.0172 nan
7.0800 -1.0258 -1.0258 nan
7.1200 -1.0344 -1.0344 nan
7.1600 -1.0430 -1.0430 nan
7.2000 -1.0516 -1.0516 nan
7.2400 -1.0602 -1.0602 nan
7.2800 -1.0687 -1.0687 nan
7.3200 -1.0773 -1.0773 nan
7.3600 -1.0858 -1.0858 nan
7.4000 -1.0943 -1.0943 nan
7.4400 -1.1028 -1.1028 nan
7.4800 -1.1112 -1.1112 nan
7.5200 -1.1197 -1.1197 nan
7.5600 -1.1281 -1.1281 nan
7.6000 -1.1365 -1.1365 nan
7.6400 -1.1449 -1.1449 nan
7.6800 -1.1533 -1.1533 nan
7.7200 -1.1616 -1.1616 nan
7.7600 -1.1699 -1.1699 nan
7.8000 -1.1782 -1.1782 nan
7.8400 -1.1865 -1.1865 nan
7.8800 -1.1947 -1.1947 nan
7.9200 -1.2029 -1.2029 nan
7.9600 -1.2111 -1.2111 nan
8.0000 -1.2193 -1.2193 nan
8.0400 -1.2274 -1.2274 nan
8.0800 -1.2355 -1.2355 nan
8.1200 -1.2436 -1.2436 nan
8.1600 -1.2516 -1.2516 nan
8.2000 -1.2596 -1.2596 nan
8.2400 -1.2676 -1.2676 nan
8.2800 -1.2755 -1.2755 nan
8.3200 -1.2834 -1.2834 nan
8.3600 -1.2912 -1.2912 nan
8.4000 -1.2991 -1.2991 nan
8.4400 -1.3069 -1.3069 nan
8.4800 -1.3146 -1.3146 nan
8.5200 -1.3223 -1.3223 nan
8.5600 -1.3300 -1.3300 nan
8.6000 -1.3376 -1.3376 nan
8.6400 -1.3452 -1.3452 nan
8.6800 -1.3528 -1.3528 nan
8.7200 -1.3603 -1.3603 nan
8.7600 -1.3677 -1.3677 nan
8.8000 -1.3752 -1.3752 nan
8.8400 -1.3826 -1.3826 nan
8.8800 -1.3899 -1.3899 nan
8.9200 -1.3972 -1.3972 nan
8.9600 -1.4044 -1.4044 nan
9.0000 -1.4116 -1.4116 nan
9.0400 -1.4188 -1.4188 nan
9.0800 -1.4259 -1.4259 nan
9.1200 -1.4329 -1.4329 nan
9.1600 -1.4399 -1.4399 nan
9.2000 -1.4469 -1.4469 nan
9.2400 -1.4538 -1.4538 nan
9.2800 -1.4606 -1.4606 nan
9.3200 -1.4675 -1.4675 nan
9.3600 -1.4742 -1.4742 nan
9.4000 -1.4809 -1.4809 nan
9.4400 -1.4875 -1.4875 nan
9.4800 -1.4941 -1.4941 nan
9.5200 -1.5007 -1.5007 nan
9.5600 -1.5072 -1.5072 nan
9.6000 -1.5136 -1.5136 nan
9.6400 -1.5200 -1.5200 nan
9.6800 -1.5263 -1.5263 nan
9.7200 -1.5325 -1.5325 nan
9.7600 -1.5387 -1.5387 nan
9.8000 -1.5449 -1.5449 nan
9.8400 -1.5510 -1.5510 nan
9.8800 -1.5570 -1.5570 nan
9.9200 -1.5630 -1.5630 nan
9.9600 -1.5689 -1.5689 nan
10.0000 -1.5747 -1.5747 nan
10.0400 -1.5805 -1.5805 nan
10.0800 -1.5862 -1.5862 nan
10.1200 -1.5919 -1.5919 nan
10.1600 -1.5975 -1.5975 nan
10.2000 -1.6030 -1.6030 nan
10.2400 -1.6085 -1.6085 nan
10.2800 -1.6139 -1.6139 nan
10.3200 -1.6193 -1.6193 nan
10.3600 -1.6246 -1.6246 nan
10.4000 -1.6298 -1.6298 nan
10.4400 -1.6350 -1.6350 nan
10.4800 -1.6401 -1.6401 nan
10.5200 -1.6451 -1.6451 nan
10.5600 -1.6501 -1.6501 nan
10.6000 -1.6550 -1.6550 nan
10.6400 -1.6598 -1.6598 nan
10.6800 -1.6646 -1.6646 nan
10.7200 -1.6693 -1.6693 nan
10.7600 -1.6740 -1.6740 nan
10.8000 -1.6785 -1.6785 nan
10.8400 -1.6831 -1.6831 nan
10.8800 -1.6875 -1.6875 nan
10.9200 -1.6919 -1.6919 nan
10.9600 -1.6962 -1.6962 nan
11.0000 -1.7005 -1.7005 nan
11.0400 -1.7047 -1.7047 nan
11.0800 -1.7088 -1.7088 nan
11.1200 -1.7129 -1.7129 nan
11.1600 -1.7169 -1.7169 nan
11.2000 -1.7209 -1.7209 nan
11.2400 -1.7248 -1.7248 nan
11.2800 -1.7286 -1.7286 nan
11.3200 -1.7324 -1.7324 nan
11.3600 -1.7361 -1.7361 nan
11.4000 -1.7398 -1.7398 nan
11.4400 -1.7434 -1.7434 nan
11.4800 -1.7470 -1.7470 nan
11.5200 -1.7505 -1.7505 nan
11.5600 -1.7539 -1.7539 nan
11.6000 -1.7573 -1.7573 nan
11.6400 -1.7607 -1.7607 nan
11.6800 -1.7640 -1.7640 nan
11.7200 -1.7673 -1.7673 nan
11.7600 -1.7705 -1.7705 nan
11.8000 -1.7737 -1.7737 nan
11.8400 -1.7769 -1.7769 nan
11.8800 -1.7800 -1.7800 nan
11.9200 -1.7831 -1.7831 nan
11.9600 -1.7862 -1.7862 nan
12.0000 -1.7893 -1.7893 nan
12.0400 -1.7923 -1.7923 nan
12.0800 -1.7954 -1.7954 nan
12.1200 -1.7985 -1.7985 nan
12.1600 -1.8015 -1.8015 nan
12.2000 -1.8046 -1.8046 nan
12.2400 -1.8077 -1.8077 nan
12.2800 -1.8109 -1.8109 nan
12.3200 -1.8140 -1.8140 nan
12.3600 -1.8173 -1.8173 nan
12.4000 -1.8206 -1.8206 nan
12.4400 -1.8240 -1.8240 nan
12.4800 -1.8274 -1.8274 nan
12.5200 -1.8310 -1.8310 nan
12.5600 -1.8347 -1.8347 nan
12.6000 -1.8386 -1.8386 nan
12.6400 -1.8426 -1.8426 nan
12.6800 -1.8468 -1.8468 nan
12.7200 -1.8513 -1.8513 nan
12.7600 -1.8560 -1.8560 nan
12.8000 -1.8609 -1.8609 nan
12.8400 -1.8662 -1.8662 nan
12.8800 -1.8719 -1.8719 nan
12.9200 -1.8779 -1.8779 nan
12.9600 -1.8844 -1.8844 nan
13.0000 -1.8913 -1.8913 nan
13.0400 -1.8989 -1.8989 nan
13.0800 -1.9070 -1.9070 nan
13.1200 -1.9159 -1.9159 nan
13.1600 -1.9255 -1.9255 nan
13.2000 -1.9361 -1.9361 nan
13.2400 -1.9475 -1.9475 nan
13.2800 -1.9601 -1.9601 nan
13.3200 -1.9739 -1.9739 nan
13.3600 -1.9890 -1.9890 nan
13.4000 -2.0057 -2.0057 nan
13.4400 -2.0240 -2.0240 nan
13.4800 -2.0442 -2.0442 nan
13.5200 -2.0666 -2.0666 nan
13.5600 -2.0912 -2.0912 nan
13.6000 -2.1185 -2.1185 nan
13.6400 -2.1487 -2.1487 nan
13.6800 -2.1822 -2.1822 nan
13.7200 -2.2193 -2.2193 nan
13.7600 -2.2604 -2.2604 nan
13.8000 -2.3061 -2.3061 nan
13.8400 -2.3569 -2.3569 nan
13.8800 -2.4133 -2.4133 nan
13.9200 -2.4759 -2.4759 nan
13.9600 -2.5455 -2.5455 nan
14.0000 -2.6229 -2.6229 nan
14.0400 -2.7088 -2.7088 nan
14.0800 -2.8042 -2.8042 nan
14.1200 -2.9101 -2.9101 nan
14.1600 -3.0275 -3.0275 nan
14.2000 -3.1575 -3.1575 nan
14.2400 -3.3014 -3.3014 nan
14.2800 -3.4601 -3.4601 nan
14.3200 -3.6351 -3.6351 nan
14.3600 -3.8274 -3.8274 nan
14.4000 -4.0381 -4.0381 nan
14.4400 -4.2681 -4.2681 nan
14.4800 -4.5183 -4.5183 nan
14.5200 -4.7891 -4.7891 nan
14.5600 -5.0808 -5.0808 nan
14.6000 -5.3930 -5.3930 nan
14.6400 -5.7251 -5.7251 nan
14.6410 -5.7336 -5.7336 nan
14.6420 -5.7422 -5.7422 -5.7422
14.6800 -6.0757 nan -6.0757
14.7200 -6.4429 nan -6.4429
14.7600 -6.8241 nan -6.8241
14.8000 -7.2162 nan -7.2162
14.8400 -7.6154 nan -7.6154
14.8800 -8.0177 nan -8.0177
14.9200 -8.4185 nan -8.4185
14.9600 -8.8133 nan -8.8133
15.0000 -9.1977 nan -9.1977
15.0400 -9.5675 nan -9.5675
15.0800 -9.9189 nan -9.9189
15.1200 -10.2490 nan -10.2490
15.1600 -10.5553 nan -10.5553
15.2000 -10.8362 nan -10.8362
15.2400 -11.0910 nan -11.0910
15.2800 -11.3194 nan -11.3194
15.3200 -11.5221 nan -11.5221
15.3600 -11.6999 nan -11.6999
15.4000 -11.8544 nan -11.8544
15.4400 -11.9872 nan -11.9872
15.4800 -12.1002 nan -12.1002
15.5200 -12.1954 nan -12.1954
15.5600 -12.2747 nan -12.2747
15.6000 -12.3400 nan -12.3400
15.6400 -12.3933 nan -12.3933
15.6800 -12.4360 nan -12.4360
15.7200 -12.4699 nan -12.4699
15.7600 -12.4962 nan -12.4962
15.8000 -12.5162 nan -12.5162
15.8400 -12.5309 nan -12.5309
15.8800 -12.5413 nan -12.5413
15.9200 -12.5481 nan -12.5481
15.9600 -12.5520 nan -12.5520
16.0000 -12.5537 nan -12.5537
16.0400 -12.5534 nan -12.5534
16.0800 -12.5517 nan -12.5517
16.1200 -12.5489 nan -12.5489
16.1600 -12.5451 nan -12.5451
16.2000 -12.5407 nan -12.5407
16.2400 -12.5357 nan -12.5357
16.2800 -12.5303 nan -12.5303
16.3200 -12.5246 nan -12.5246
16.3600 -12.5187 nan -12.5187
16.4000 -12.5126 nan -12.5126
16.4400 -12.5063 nan -12.5063
16.4800 -12.5000 nan -12.5000
16.5200 -12.4935 nan -12.4935
16.5600 -12.4870 nan -12.4870
16.6000 -12.4803 nan -12.4803
16.6400 -12.4737 nan -12.4737
16.6800 -12.4669 nan -12.4669
16.7200 -12.4602 nan -12.4602
16.7600 -12.4533 nan -12.4533
16.8000 -12.4464 nan -12.4464
16.8400 -12.4395 nan -12.4395
16.8800 -12.4325 nan -12.4325
16.9200 -12.4255 nan -12.4255
16.9600 -12.4184 nan -12.4184
17.0000 -12.4113 nan -12.4113
17.0400 -12.4041 nan -12.4041
17.0800 -12.3968 nan -12.3968
17.1200 -12.3896 nan -12.3896
17.1600 -12.3822 nan -12.3822
17.2000 -12.3749 nan -12.3749
17.2400 -12.3675 nan -12.3675
17.2800 -12.3600 nan -12.3600
17.3200 -12.3525 nan -12.3525
17.3600 -12.3450 nan -12.3450
17.4000 -12.3374 nan -12.3374
17.4400 -12.3297 nan -12.3297
17.4800 -12.3220 nan -12.3220
17.5200 -12.3143 nan -12.3143
17.5600 -12.3065 nan -12.3065
17.6000 -12.2985 nan -12.2985
17.6400 -12.2905 nan -12.2905
17.6800 -12.2823 nan -12.2823
17.7200 -12.2739 nan -12.2739
17.7600 -12.2652 nan -12.2652
17.8000 -12.2561 nan -12.2561
17.8400 -12.2465 nan -12.2465
17.8800 -12.2362 nan -12.2362
17.9200 -12.2251 nan -12.2251
17.9600 -12.2128 nan -12.2128
18.0000 -12.1991 nan -12.1991
18.0400 -12.1836 nan -12.1836
18.0800 -12.1658 nan -12.1658
18.1200 -12.1452 nan -12.1452
18.1600 -12.1210 nan -12.1210
18.2000 -12.0926 nan -12.0926
18.2400 -12.0589 nan -12.0589
18.2800 -12.0189 nan -12.0189
18.3200 -11.9715 nan -11.9715
18.3600 -11.9151 nan -11.9151
18.4000 -11.8484 nan -11.8484
18.4400 -11.7695 nan -11.7695
18.4800 -11.6768 nan -11.6768
18.5200 -11.5682 nan -11.5682
18.5600 -11.4418 nan -11.4418
18.6000 -11.2958 nan -11.2958
18.6400 -11.1281 nan -11.1281
18.6800 -10.9370 nan -10.9370
18.7200 -10.7213 nan -10.7213
18.7600 -10.4797 nan -10.4797
18.8000 -10.2120 nan -10.2120
18.8400 -9.9181 nan -9.9181
18.8800 -9.5989 nan -9.5989
18.9200 -9.2560 nan -9.2560
18.9600 -8.8918 nan -8.8918
19.0000 -8.5093 nan -8.5093
19.0400 -8.1123 nan -8.1123
19.0800 -7.7049 nan -7.7049
19.1200 -7.2915 nan -7.2915
19.1600 -6.8768 nan -6.8768
19.2000 -6.4652 nan -6.4652
19.2400 -6.0608 nan -6.0608
19.2800 -5.6673 nan -5.6673
19.3200 -5.2880 nan -5.2880
19.3430 -5.0773 nan -5.0773
19.3440 -5.0682 -5.0682 -5.0682
19.3600 -4.9253 -4.9253 nan
19.4000 -4.5812 -4.5812 nan
19.4400 -4.2570 -4.2570 nan
19.4800 -3.9535 -3.9535 nan
19.5200 -3.6709 -3.6709 nan
19.5600 -3.4090 -3.4090 nan
19.6000 -3.1673 -3.1673 nan
19.6400 -2.9451 -2.9451 nan
19.6800 -2.7414 -2.7414 nan
19.7200 -2.5550 -2.5550 nan
19.7600 -2.3850 -2.3850 nan
19.8000 -2.2299 -2.2299 nan
19.8400 -2.0888 -2.0888 nan
19.8800 -1.9603 -1.9603 nan
19.9200 -1.8435 -1.8435 nan
19.9600 -1.7372 -1.7372 nan
20.0000 -1.6405 -1.6405 nan
20.0400 -1.5525 -1.5525 nan
20.0800 -1.4723 -1.4723 nan
20.1200 -1.3992 -1.3992 nan
20.1600 -1.3324 -1.3324 nan
20.2000 -1.2714 -1.2714 nan
20.2400 -1.2155 -1.2155 nan
20.2800 -1.1642 -1.1642 nan
20.3200 -1.1171 -1.1171 nan
20.3600 -1.0737 -1.0737 nan
20.4000 -1.0337 -1.0337 nan
20.4400 -0.9968 -0.9968 nan
20.4800 -0.9625 -0.9625 nan
20.5200 -0.9307 -0.9307 nan
20.5600 -0.9011 -0.9011 nan
20.6000 -0.8735 -0.8735 nan
20.6400 -0.8476 -0.8476 nan
20.6800 -0.8234 -0.8234 nan
20.7200 -0.8007 -0.8007 nan
20.7600 -0.7792 -0.7792 nan
20.8000 -0.7590 -0.7590 nan
20.8400 -0.7398 -0.7398 nan
20.8800 -0.7217 -0.7217 nan
20.9200 -0.7044 -0.7044 nan
20.9600 -0.6879 -0.6879 nan
21.0000 -0.6722 -0.6722 nan
21.0400 -0.6571 -0.6571 nan
21.0800 -0.6427 -0.6427 nan
21.1200 -0.6288 -0.6288 nan
21.1600 -0.6155 -0.6155 nan
21.2000 -0.6026 -0.6026 nan
21.2400 -0.5901 -0.5901 nan
21.2800 -0.5780 -0.5780 nan
21.3200 -0.5663 -0.5663 nan
21.3600 -0.5550 -0.5550 nan
21.4000 -0.5439 -0.5439 nan
21.4400 -0.5332 -0.5332 nan
21.4800 -0.5227 -0.5227 nan
21.5200 -0.5124 -0.5124 nan
21.5600 -0.5024 -0.5024 nan
21.6000 -0.4926 -0.4926 nan
21.6400 -0.4831 -0.4831 nan
21.6800 -0.4737 -0.4737 nan
21.7200 -0.4644 -0.4644 nan
21.7600 -0.4554 -0.4554 nan
21.8000 -0.4465 -0.4465 nan
21.8400 -0.4378 -0.4378 nan
21.8800 -0.4292 -0.4292 nan
21.9200 -0.4207 -0.4207 nan
21.9600 -0.4124 -0.4124 nan
22.0000 -0.4042 -0.4042 nan
22.0400 -0.3961 -0.3961 nan
22.0800 -0.3881 -0.3881 nan
22.1200 -0.3802 -0.3802 nan
22.1600 -0.3725 -0.3725 nan
22.2000 -0.3648 -0.3648 nan
22.2400 -0.3573 -0.3573 nan
22.2800 -0.3498 -0.3498 nan
22.3200 -0.3424 -0.3424 nan
22.3600 -0.3352 -0.3352 nan
22.4000 -0.3280 -0.3280 nan
22.4400 -0.3209 -0.3209 nan
22.4800 -0.3139 -0.3139 nan
22.5200 -0.3069 -0.3069 nan
22.5600 -0.3001 -0.3001 nan
22.6000 -0.2933 -0.2933 nan
22.6400 -0.2866 -0.2866 nan
22.6800 -0.2800 -0.2800 nan
22.7200 -0.2735 -0.2735 nan
22.7600 -0.2670 -0.2670 nan
22.8000 -0.2607 -0.2607 nan
22.8400 -0.2544 -0.2544 nan
22.8800 -0.2482 -0.2482 nan
22.9200 -0.2420 -0.2420 nan
22.9600 -0.2359 -0.2359 nan
23.0000 -0.2299 -0.2299 nan
23.0400 -0.2240 -0.2240 nan
23.0800 -0.2182 -0.2182 nan
23.1200 -0.2124 -0.2124 nan
23.1600 -0.2067 -0.2067 nan
23.2000 -0.2011 -0.2011 nan
23.2400 -0.1955 -0.1955 nan
23.2800 -0.1900 -0.1900 nan
