s whole twice missed
0.0 1.0 0.99923 0.0
0.5 1.0 0.99917 0.0
1.0 1.0 0.99858 0.0
1.5 1.0 0.99826 0.0
2.0 1.0 0.99781 0.0
2.5 1.0 0.99787 0.0
3.0 1.0 0.99751 0.0
3.5 1.0 0.99721 0.0
4.0 1.0 0.99618 0.0
4.5 1.0 0.99655 0.0
5.0 1.0 0.99553 0.0
5.5 1.0 0.9956 0.0
6.0 1.0 0.99487 0.0
6.5 1.0 0.99441 0.0
7.0 1.0 0.99436 0.0
7.5 1.0 0.99334 0.0
8.0 1.0 0.99398 0.0
8.5 1.0 0.9929 0.0
9.0 1.0 0.99296 0.0
9.5 1.0 0.99273 0.0
10.0 1.0 0.99066 0.0
10.5 1.0 0.99183 0.0
11.0 1.0 0.99114 0.0
11.5 1.0 0.99097 0.0
12.0 1.0 0.99098 0.0
12.5 1.0 0.9907 0.0
13.0 1.0 0.99008 0.0
13.5 1.0 0.98792 0.0
14.0 1.0 0.98877 0.0
14.5 1.0 0.98745 0.0
15.0 1.0 0.98784 0.0
