s whole twice missed
0.0 0.54559 0.25715 0.3742
0.5 0.54502 0.25621 0.37288
1.0 0.52349 0.22785 0.34233
1.5 0.47402 0.16565 0.29271
2.0 0.45004 0.13606 0.26267
2.5 0.42166 0.1028 0.22242
3.0 0.39284 0.07345 0.19091
3.5 0.36337 0.04661 0.1586
4.0 0.33695 0.03011 0.12502
4.5 0.30818 0.01771 0.10281
5.0 0.27996 0.01096 0.08459
5.5 0.24917 0.00479 0.06744
6.0 0.21256 0.00206 0.05815
6.5 0.18388 0.00046 0.04983
7.0 0.15566 0.0 0.04318
7.5 0.12205 0.0 0.03695
8.0 0.09115 0.0 0.0315
8.5 0.06765 0.0 0.02714
9.0 0.044 0.0 0.02098
9.5 0.03149 0.0 0.01671
10.0 0.0208 0.0 0.01232
10.5 0.00981 0.0 0.00779
11.0 0.00433 0.0 0.00456
11.5 0.00139 0.0 0.00136
12.0 0.00083 0.0 0.0
12.5 0.0 0.0 0.0
13.0 0.0 0.0 0.0
13.5 0.0 0.0 0.0
14.0 0.0 0.0 0.0
14.5 0.0 0.0 0.0
15.0 0.0 0.0 0.0
