s whole twice missed
0.0 0.99851 0.61407 0.0
0.5 0.99851 0.61129 0.0
1.0 0.99827 0.52506 0.0
1.5 0.99649 0.35737 0.0
2.0 0.99432 0.26515 0.0
2.5 0.99138 0.17326 0.0
3.0 0.98909 0.10674 0.0
3.5 0.98407 0.07275 0.0
4.0 0.9814 0.04739 0.0
4.5 0.97634 0.03242 0.0
5.0 0.97312 0.01977 0.0
5.5 0.97067 0.0107 0.0
6.0 0.96553 0.00467 0.0
6.5 0.96427 0.00086 0.0
7.0 0.96054 0.0 0.0
7.5 0.95658 0.0 0.0
8.0 0.95592 0.0 0.0
8.5 0.9517 0.0 0.0
9.0 0.94801 0.0 0.0
9.5 0.94457 0.0 0.0
10.0 0.93966 0.0 0.0
10.5 0.93801 0.0 0.0
11.0 0.93268 0.0 0.0
11.5 0.92972 0.0 0.0
12.0 0.92911 0.0 0.0
12.5 0.92512 0.0 0.0
13.0 0.92064 0.0 0.0
13.5 0.91758 0.0 0.0
14.0 0.91519 0.0 0.0
14.5 0.91451 0.0 0.0
15.0 0.91342 0.0 0.0
